name,note,category,coordinates,visited,lng_val,lat_val,caption
Galeries Lafayette Haussmann,View from roof,store,"48.873718501473284, 2.3321262885673466",TRUE,2.3321262885673466,48.87371850147328,Galeries Lafayette Haussmann | View from roof
Parc Monceau,NA,park,"48.88006020214913, 2.3091252252192427",TRUE,2.3091252252192427,48.88006020214913,Parc Monceau |
<a href='https://www.lalahotel.com/' target='_blank'>LALA Hôtel</a>,NA,hotel,"48.88343165064482, 2.325123514202397",TRUE,2.325123514202397,48.88343165064482,<a href='https://www.lalahotel.com/' target='_blank'>LALA Hôtel</a> |
Metro: Place de Clichy,NA,subway,"48.88373820753087, 2.3281385450929686",TRUE,2.3281385450929686,48.88373820753087,Metro: Place de Clichy |
Le Grand Epicerie de Paris,"Multi-story gourmet food hall and market; lots of food counters to sit and eat, everything from crepes to whelks. We should def plan to get lunch (or dinner) here one day; also great shopping, e.g. food souvenirs (sel de mer, mustard, jams, etc).",market,"48.85969027625157, 2.281738258736061",TRUE,2.281738258736061,48.85969027625157,"Le Grand Epicerie de Paris | Multi-story gourmet food hall and market; lots of food counters to sit and eat, everything from crepes to whelks. We should def plan to get lunch (or dinner) here one day; also great shopping, e.g. food souvenirs (sel de mer, mustard, jams, etc)."
Place de la Concorde,"Photogenic, tourist-y, we'll likely be in the area at some point. (And in case we want to replicate the cover of ""A Paris"".)

Dev & Joel visted, May 25, 2026.",landmark/photo opp,"48.86573896567691, 2.3220135406280296",TRUE,2.3220135406280296,48.86573896567691,"Place de la Concorde | Photogenic, tourist-y, we'll likely be in the area at some point. (And in case we want to replicate the cover of ""A Paris"".)

Dev & Joel visted, May 25, 2026."
<a href='https://www.lamachinedumoulinrouge.com/le-bar-a-bulles/' target='_blank'>Le Bar à Bulles</a>,"Rooftop bar behind the windmill blades at Moulen Rouge

Visted May 25, 2026, sat behind the blades of the windmill. Big fun.",bar,"48.88471002715455, 2.332271841758535",TRUE,2.332271841758535,48.88471002715455,"<a href='https://www.lamachinedumoulinrouge.com/le-bar-a-bulles/' target='_blank'>Le Bar à Bulles</a> | Rooftop bar behind the windmill blades at Moulen Rouge

Visted May 25, 2026, sat behind the blades of the windmill. Big fun."
Marché couvert des Enfants Rouges,"Classic outdoor marketplace with vendors selling produce, meat & seafood, plus wine, cheese & more.",market,"48.86462477434395, 2.3620981386226587",TRUE,2.3620981386226587,48.86462477434395,"Marché couvert des Enfants Rouges | Classic outdoor marketplace with vendors selling produce, meat & seafood, plus wine, cheese & more."
Les Domaines Qui Montent Paris Cardinet,"Great selection. Knowledgable helpful staff. Cured meats and cheeses—small but very fine selection. Visited May 18, 2026.",Wine store,"48.882116, 2.328847",TRUE,2.328847,48.882116,"Les Domaines Qui Montent Paris Cardinet | Great selection. Knowledgable helpful staff. Cured meats and cheeses—small but very fine selection. Visited May 18, 2026."
Cafe l'Entracte,"So small, small selection, neighborhood, great dark hole in the wall. Visited May 18, 2026.",Bar,"48.884068, 2.326317",TRUE,2.326317,48.884068,"Cafe l'Entracte | So small, small selection, neighborhood, great dark hole in the wall. Visited May 18, 2026."
<a href='https://www.rooster-restaurant.com/reservation/' target='_blank'>ROOSTER PAR FRÉDÉRIC DUCA</a>,"After training in prestigious houses (from Passedat to Darroze), Frédéric Duca has set up shop in the more working-class part of the 17th arrondissement. In a former street corner cafe, the Marseille-born chef signs dishes which pay numerous tributes to his Mediterranean and Provençal roots. The lunchtime menu is at delicious eater-friendly prices. More ambitious in the evenings.

Vistined Thursday, May 21, 2026. ",restaurant,"48.88687437146972, 2.3131238164807524",TRUE,2.3131238164807524,48.88687437146972,"<a href='https://www.rooster-restaurant.com/reservation/' target='_blank'>ROOSTER PAR FRÉDÉRIC DUCA</a> | After training in prestigious houses (from Passedat to Darroze), Frédéric Duca has set up shop in the more working-class part of the 17th arrondissement. In a former street corner cafe, the Marseille-born chef signs dishes which pay numerous tributes to his Mediterranean and Provençal roots. The lunchtime menu is at delicious eater-friendly prices. More ambitious in the evenings.

Vistined Thursday, May 21, 2026."
Le Wagon Bleu,"Corsican cuisine in a wood-paneled railway carriage which becomes a late-night club on the weekend.

Great meal with excellent dose of Clementine liquor at meal's end.",restaurant,"48.883029954751635, 2.320535551879477",TRUE,2.320535551879477,48.883029954751635,"Le Wagon Bleu | Corsican cuisine in a wood-paneled railway carriage which becomes a late-night club on the weekend.

Great meal with excellent dose of Clementine liquor at meal's end."
La Samaritaine,FANCY department store. ,store,"48.859038971904695, 2.342141408689555",TRUE,2.342141408689555,48.859038971904695,La Samaritaine | FANCY department store.
Big Love,"BigLove is a Neapolitan trattoria created by the cheerful Big Mamma team. Through the big glass door on rue Debeylleme, customers are warmly welcomed into an authentic, intimate setting with the feel of a large Italian grocery shop and cosy cafés. BigLove also offers gourmet brunches and traditional Neapolitan dishes, all 100% vegaterian!

Visted May 19, 2026",restaurant,"48.86246746812821, 2.3636752266517496",TRUE,2.3636752266517496,48.86246746812821,"Big Love | BigLove is a Neapolitan trattoria created by the cheerful Big Mamma team. Through the big glass door on rue Debeylleme, customers are warmly welcomed into an authentic, intimate setting with the feel of a large Italian grocery shop and cosy cafés. BigLove also offers gourmet brunches and traditional Neapolitan dishes, all 100% vegaterian!

Visted May 19, 2026"
Habib Beirut,"Lebanese restaurant

Visited May 17, 2026. Excellent wine, inexpensive, great flavors.",restaurant,"48.880146211484224, 2.321841803042917",TRUE,2.321841803042917,48.880146211484224,"Habib Beirut | Lebanese restaurant

Visited May 17, 2026. Excellent wine, inexpensive, great flavors."
<a href='https://pharmacie-citypharma.fr/en/' target='_blank'>Citypharma</a>,"Crazy-busy discount drugstore, with floors of toilettries.",store,"48.85290456181854, 2.3333528975762388",TRUE,2.3333528975762388,48.85290456181854,"<a href='https://pharmacie-citypharma.fr/en/' target='_blank'>Citypharma</a> | Crazy-busy discount drugstore, with floors of toilettries."
VETRA - Vêtement de travail depuis 1927 - Paris,"Fancy French ""workwear"" https://www.vetra.fr/fr/vestes-de-travail-homme/2556-veste-workwear-moleskine-authentique-made-in-france.html",store,"48.8616663, 2.3647518",TRUE,2.3647518,48.8616663,"VETRA - Vêtement de travail depuis 1927 - Paris | Fancy French ""workwear"" https://www.vetra.fr/fr/vestes-de-travail-homme/2556-veste-workwear-moleskine-authentique-made-in-france.html"
